Title,0
Avignonesi 1995 Occhio di Pernice  (Vin Santo di Montepulciano),[210.]
Biondi Santi 2010 Riserva  (Brunello di Montalcino),[550.]
Cardinale 2006 Cabernet Sauvignon (Napa Valley),[200.]
Casa Ferreirinha 2008 Barca-Velha Red (Douro),[450.]
Casanova di Neri 2007 Cerretalto  (Brunello di Montalcino),[270.]
Cayuse 2008 Bionic Frog Syrah (Walla Walla Valley (WA)),[80.]
Chambers Rosewood Vineyards NV Rare Muscat (Rutherglen),[350.]
Charles Smith 2006 Royal City Syrah (Columbia Valley (WA)),[80.]
Château Cheval Blanc 2010  Saint-Émilion,[1500.]
Château Lafite Rothschild 2010  Pauillac,[1500.]
Château Léoville Barton 2010  Saint-Julien,[150.]
Château Léoville Las Cases 2010  Saint-Julien,[359.]
Krug 2002 Brut  (Champagne),[259.]
Louis Roederer 2008 Cristal Vintage Brut  (Champagne),[250.]
Quinta do Noval 2011 Nacional Vintage  (Port),[650.]
Salon 2006 Le Mesnil Blanc de Blancs Brut Chardonnay (Champagne),[617.]
Tenuta dell'Ornellaia 2007 Masseto Merlot (Toscana),[460.]
Verité 2007 La Muse Red (Sonoma County),[450.]
