,Points,Title,Description,TasterName,Taster_Twitter_Handle,Price,Designation,Variety,Region_1,Region_2,Province,Country,Winery,Vintage,County
119,92,Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling (Alsace),"Medium-gold in color. Complex and inviting nose layered with a strong earthy minerality, vibrant bright fruit and intriguing notes of petrol and honey. On the palate it is racy, taut and focused full of well defined ripe succulent citrus and stone fruit. Rich, viscous texture perfectly balanced by the wine's crispness and almost steely minerality. Very long, juicy, lingering finish.",,,80.0,Schoenenbourg Grand Cru Vendanges Tardives,Riesling,Alsace,,Alsace,France,Dopff & Irion,,
120,92,Ceretto 2003 Bricco Rocche Prapó  (Barolo),"Slightly backward, particularly given the vintage, the wine has a complex nose with plenty of dark fruit, Turkish delight, smoked meat and earth. A full rich palate, slightly soft, it begins to run out of steam a little in mid palate, but returns with a flourish, and the finish is long and nuanced. Will repay 5+ years of cellaring.",,,70.0,Bricco Rocche Prapó,Nebbiolo,Barolo,,Piedmont,Italy,Ceretto,,
121,92,Matrix 2007 Stuhlmuller Vineyard Chardonnay (Alexander Valley),"The vineyard is one of the better Chardonnay sources in Alexander Valley, and in this fine vintage it lends ripe pineapple, pear, Key lime pie and Mandarin orange flavors to the wine. Lots of toasty new oak adds buttered toast and vanilla, but the wood influence is in balance. Classic Burgundian-style California Chardonnay, rich and opulent.",,,36.0,Stuhlmuller Vineyard,Chardonnay,Alexander Valley,Sonoma,California,US,Matrix,,
122,92,Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel (Rockpile),"Defines Rockpile Zinfandel in intensity of fruit and high alcohol which is in keeping with the volume. There are few red wines in the world like this. It's fully dry, with potent flavors of baked blackberries, blackcurrants, cola and peppery spices, and the tannins are huge, but negotiable. Demands the richest grilled meats and cheeses.",,,39.0,Rockpile Cemetary Vineyard,Zinfandel,Rockpile,Sonoma,California,US,Mauritson,,
123,92,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-Cabernet Sauvignon (Padthaway),"The blend is roughly two-thirds Shiraz and one-third Cabernet, and the result combines berries with cassis and generosity with structure, all framed by toasty oak. Savory in character, long and dusty on the finish. Drink now-2018.",Joe Czerwinski,@JoeCz,40.0,Parson's Flat,Shiraz-Cabernet Sauvignon,Padthaway,,South Australia,Australia,Henry's Drive Vignerons,,
124,92,Silverado 2006 Cabernet Sauvignon (Napa Valley),"This sophisticated wine is mostly Cabernet Sauvignon, which accounts for the firm tannins and dense structure as well as most of the blackberries and blackcurrants. Smaller amounts of Merlot and Cabernet Franc add cherries and violets, while oak contributes smoky complexities. Rich and elegant, the wine provides lovely drinking now.",,,45.0,,Cabernet Sauvignon,Napa Valley,Napa,California,US,Silverado,,
280,92,Forstreiter 2012 Schiefer Reserve Grüner Veltliner (Kremstal),"A strongly spicy, rich wine, this has great concentration and an intense, dense texture.There is weight with plenty of ripe tropical fruits to contrast pronounced black pepper and bitter almond character. It's still young, so don't drink before 2015. Screwcap.",Roger Voss,@vossroger,24.0,Schiefer Reserve,Grüner Veltliner,,,Kremstal,Austria,Forstreiter,,
281,92,Cambria 2011 Bench Break Vineyard Pinot Noir (Santa Maria Valley),"This is another fine Pinot from Cambria, showing the winery's great price-quality ratio. Words like opulent and elegant come to mind to describe intense flavors of black cherries, licorice, cola, herb tea and Indian spices. It's bone dry, and also quite tannic, but you can enjoy it now with big, rich lamb and beef dishes, or a wild mushroom risotto. Otherwise, it will continue to improve for at least eight years.",,,34.0,Bench Break Vineyard,Pinot Noir,Santa Maria Valley,Central Coast,California,US,Cambria,,
282,92,I Giusti e Zanza 2009 Dulcamara Red (Toscana),"This delicious blend of Cabernet Sauvignon, Merlot and Petit Verdot opens with an intense, brooding fragrance of dark fruit, spice and leather. The palate delivers a concentrated black-cherry flavor that's framed by big, chewy tannins and  punctuated by spicy accents of white and black pepper, licorice and pipe. Drink 2015–2024.",Kerin O’Keefe,@kerinokeefe,41.0,Dulcamara,Red Blend,Toscana,,Tuscany,Italy,I Giusti e Zanza,,
283,92,J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir (Dundee Hills),"Bella Vida replaces the Abbey Ridge bottling and does so with pizzazz. The best of the 2011 releases, this is a beautiful expression of grapes grown on red clay soils, with refined, deeply penetrating flavors of ripe raspberries. Smooth, supple and long, with uncommon purity, it finishes with a kiss of chocolate from 18 months in one-quarter new oak barrels.",Paul Gregutt,@paulgwine ,52.0,Bella Vida Vineyard Unfiltered,Pinot Noir,Dundee Hills,Willamette Valley,Oregon,US,J. Christopher,,
284,92,Viña Cobos 2011 Marchiori Vineyard Block C2 Malbec (Perdriel),"This huge Malbec defines jammy and concentrated. The bouquet is ripe, soft and minty, while the palate echoes the nose with thickness and density. Flavors of prune, raisin, tea and blackberry are borderline syrupy, while the finish is smooth and pure but doesn't offer much spine or foundation. Drink this modern Malbec sooner rather than later.",Michael Schachner,@wineschach,215.0,Marchiori Vineyard Block C2,Malbec,Perdriel,,Mendoza Province,Argentina,Viña Cobos,,
285,92,Salomon-Undhof 2011 Steiner Kögl Erste Lage Riesling (Kremstal),"This is a very aromatic wine that's rich, spicy and with just a touch of ripeness. It has spiced pear, lychee and honey notes all balanced by a wonderful fresh acidity. Drink now and until 2020. Screwcap.",Roger Voss,@vossroger,,Steiner Kögl Erste Lage,Riesling,,,Kremstal,Austria,Salomon-Undhof,,
286,92,Talley 2011 Rincon Vineyard Pinot Noir (Arroyo Grande Valley),"While delicious now with flavors of raspberries, cherries, cola and oak, all showered with tart, citrusy acidity, this wine also has a great future. Give it 6–8 years to evolve in the bottle for further complexity.",,,60.0,Rincon Vineyard,Pinot Noir,Arroyo Grande Valley,Central Coast,California,US,Talley,,
287,92,Acústic 2010 Braó Vinyes Velles Carignan-Grenache (Montsant),"This is the stud in the Acústic stable. A blend of 70% Carignan and 30% Garnacha, Braó is lively and bright on the nose, with ripe blackberry and cassis aromas. The palate is concentrated and juicy, with fine balance and bold flavors of blueberry, blackberry and coffee. A toasty, dark finish features chocolate, toast and minerality. Drink through 2019.",Michael Schachner,@wineschach,40.0,Braó Vinyes Velles,Carignan-Grenache,Montsant,,Catalonia,Spain,Acústic,,
288,92,Josef Schmid 2011 Kremser Gebling Erste Lage Grüner Veltliner (Kremstal),"While it feels rich and round, this is also a wine with a crisp side to it. Acidity cuts through ripe pear, apricot and lychee flavors, giving a decidedly crisp balance. It's a wine that is already ready to drink. Screwcap.",Roger Voss,@vossroger,,Kremser Gebling Erste Lage,Grüner Veltliner,,,Kremstal,Austria,Josef Schmid,,
289,92,Parallel 2010 Fortune Teller Cabernet Sauvignon (Napa Valley),"This 100% Cabernet Sauvignon is so rich and decadent, with milk chocolate, blackberry and new French oak flavors. Made by celebrity winemaker Philippe Melka, it's soft and approacheable on the palate and widely appealing. Your best bet is to drink up now.",,,125.0,Fortune Teller,Cabernet Sauvignon,Napa Valley,Napa,California,US,Parallel,,
290,92,Château Lafon-Rochet 2011  Saint-Estèphe,"This is a wine that has great potential—you can tell from the firm tannins, tight acidity and closed texture. Initially, black currant flavors are touched with dark, dusty notes, but they finish with more juicy character on the afterntaste. Drink from 2017.",Roger Voss,@vossroger,,,Bordeaux-style Red Blend,Saint-Estèphe,,Bordeaux,France,Château Lafon-Rochet,,
291,92,Dionigi 2006  Sagrantino di Montefalco,"This powerful Sagrantino opens with aromas of meat juice, truffle and black fruit. The palate offers blackberry, black cherry, cinnamon and black pepper, along with tobacco notes. It also has Sagrantino's trademark tannic backbone, but the tannins are ripe and are balanced by bright acidity.",Kerin O’Keefe,@kerinokeefe,,,Sagrantino,Sagrantino di Montefalco,,Central Italy,Italy,Dionigi,,
292,92,Domaine Daniel Dugois 2006 Vin Jaune Savagnin (Arbois),"Rich almonds, ripe peaches and a smoky, oxidized character all come together in this ripe, complex, fascinating wine. There is a great tang of apple acidity on the finish. Drink now.",Roger Voss,@vossroger,45.0,Vin Jaune,Savagnin,Arbois,,France Other,France,Domaine Daniel Dugois,,
293,92,Kilikanoon 2009 Green's Vineyard Shiraz (Barossa Valley),"This wine displays ample concentration in its inky color and potent aromas of dark berry fruit. There's a hint of raisining as well. In the mouth, it's mouthfilling but lacks a bit of texture; the flavors include dark plums, vanilla and hints of dried fruits, like figs and dates. With a finish that calls to mind chocolate fudge (minus the sugar), opt for drinking this wine over the relatively near term, now to 2020.",Joe Czerwinski,@JoeCz,70.0,Green's Vineyard,Shiraz,Barossa Valley,,South Australia,Australia,Kilikanoon,,
294,92,Finca Sophenia 2011 Synthesis Malbec (Tupungato),"Deep, lush aromas of black fruits, graphite and coconut are welcoming and friendly. The mouthfeel is pure and smooth, with elegance and power. Flavors of cassis, blackberry, hard spices and licorice filter into a long, mellow, classy finish. This is a pushy, full-bodied wine that doesn't throw punches; drink through 2020.",Michael Schachner,@wineschach,30.0,Synthesis,Malbec,Tupungato,,Mendoza Province,Argentina,Finca Sophenia,,
449,92,Majolini 2006 Pas Dosé Aligi Sassu Chardonnay (Franciacorta),"Aligi Sassu is a lovely sparkler without added sugar or liqueur. It offers a fragrance of white flower, lemon drop and nut. The palate delivers citrus, apple and almond flavors along with refined, persistent bubbles and a bone-dry finish.",Kerin O’Keefe,@kerinokeefe,39.0,Pas Dosé Aligi Sassu,Chardonnay,Franciacorta,,Lombardy,Italy,Majolini,,
450,92,Montaudon NV Classe M  (Champagne),"Now part of Jacquart Champagne, Montaudon produces sophisticated and elegant wines, as this Classe M shows. It is crisp and dry in style with citrus and grapefruit flavors dominating. but some bottle age adds texture and notes of toastiness.",Roger Voss,@vossroger,,Classe M,Champagne Blend,Champagne,,Champagne,France,Montaudon,,
451,92,Montemercurio 2007 Messaggero  (Vino Nobile di Montepulciano),"Here's an enticing Vino Nobile offering aromas of underbrush, tobacco leaf, ripe cherry and spice. The palate delivers succulent black cherry, plum, cinnamon and nutmeg along with velvety tannins. Although it shows the warmth of the vintage, it still retains elegance and class. Delicatio Wines, Golden Vines.",Kerin O’Keefe,@kerinokeefe,35.0,Messaggero,Sangiovese,Vino Nobile di Montepulciano,,Tuscany,Italy,Montemercurio,,
452,92,Patrick Javillier 2011 Les Tillets  (Meursault),"Aromas of wood aging and ripe yellow fruits are a fine pairing for this wine that comes from the slopes above Meursault. With its textured character, apricot and peach flavors and tight acidity, this is a serious and complex wine that demands aging. Drink from 2015.",Roger Voss,@vossroger,,Les Tillets,Chardonnay,Meursault,,Burgundy,France,Patrick Javillier,,
453,92,Philippe Fontaine NV Brut Prestige  (Champagne),"This is a rich, bottle-aged wine is bright with lemon and green-apple fruitiness, but it's starting to develop secondary flavors—notes of toast, almonds and cookies—as well. It's at just the right stage of development and ready to drink now.",Roger Voss,@vossroger,69.0,Brut Prestige,Champagne Blend,Champagne,,Champagne,France,Philippe Fontaine,,
454,92,Pillitteri 2012 Reserve Icewine Vidal (Niagara-On-The-Lake),"An aromatic knockout with notes of peach, papaya, lychee and brown sugar. At 250 g/L of residual sugar, it's dense and rich with carmelized sugar flavors and a lengthy finish.",Sean P. Sullivan,@wawinereport,30.0,Reserve Icewine,Vidal,Niagara-On-The-Lake,,Ontario,Canada,Pillitteri,,
455,92,Robert Mondavi 2011 Reserve Chardonnay (Carneros),"Fine acidity and a bracing minerality, like a lick of cold steel on a winter day, mark this Chardonnay. It has oak notes, but they're wisely kept in the background, allowing the citrus, green apple and peach flavors to star. This beautiful wine continues the winery's string of great reserve Chardonnays, and is their best since the 2006 vintage.",,,40.0,Reserve,Chardonnay,Carneros,Napa-Sonoma,California,US,Robert Mondavi,,
456,92,Roederer Estate NV Brut Sparkling (Anderson Valley),"Thickly moussed, Roederer's Brut, 60% Chardonnay blended with 40% Pinot Noir, aged two years on yeast is affordable and luxurious. A gorgeous, very dry sparkling wine with aromatics of honey, raisin, apple and pear, it is rich and soft and offers both depth and length. It's an ideal marriage of bright acidity and ripe fruit character.",Virginie Boone,@vboone,23.0,Brut,Sparkling Blend,Anderson Valley,,California,US,Roederer Estate,,
457,92,Rusack 2011 Solomon Hills Vineyard Pinot Noir (Santa Maria Valley),"With a wine this finely constructed, the question is always ageability. There's no question about the immediate deliciousness. It's thrilling with raspberries, strawberries, orange rind and cola, and complex notes of minerals and earth. The mouthfeel is absolutely beautiful, comprised of silk and satin brightened with acidity. So should you drink it now? Yes. Will it age? For the next six years, yes.",,,45.0,Solomon Hills Vineyard,Pinot Noir,Santa Maria Valley,Central Coast,California,US,Rusack,,
458,92,Bellavista 2006 Gran Cuvée Pas Operé Sparkling (Franciacorta),"From one of Franciacorta's leading producers, Gran Cuvée Pas Operé offers an enticing fragrance of acacia flower, white flowers and beeswax. The creamy palate delivers apple, nut, spice, thyme and sage along with fine, persistent effervescence.",Kerin O’Keefe,@kerinokeefe,50.0,Gran Cuvée Pas Operé,Sparkling Blend,Franciacorta,,Lombardy,Italy,Bellavista,,
459,92,Chanoine NV Tzarina No 1 Brut  (Champagne),"A rich, bottled-aged wine, full of toast as well as apple and crisp grapefruit flavors, this has great balance and elegance. It's full of fruit, but structured and seamlessly integrated. It's ready to drink now, but will also improve with age. Drink until 2020.",Roger Voss,@vossroger,100.0,Tzarina No 1 Brut,Champagne Blend,Champagne,,Champagne,France,Chanoine,,
